	text_a	text_b	labels
1177	A black and white cow standing in a grassy field.	a black and white cow standing in the field.	3.8
1178	A woman in a black bikini top and jeans.	A woman in a black hat is standing by the subway.	1
1179	A girl riding a brown horse.	The jockey is wearing purple and riding a brown horse.	2.2
1180	Man standing in front of yellow corvette.	A man is standing next to a yellow sports car.	3.2
1181	A man sitting on the grass looking toward the sky.	The man is standing on the sidewalk in front of the horse.	0
1182	A man poses in front of a large fountain with a statue on top.	Man with blue shirt standing in front of a fountain.	2.8
1183	A white cat standing on a carpet.	A sheep standing in a forest.	0.4
1184	A flat screen TV on the floor.	A flat-screen TV sits on the floor.	5
1185	Two brown horses standing in grassy field.	Two men sailing in a small sailboat.	0
1186	Two sheep stand in a doorway.	Two rams stand on snowy ground.	1.4
1187	Room with several computer monitors.	A room with four computer monitors in a row.	4
1188	A line outside of a bookstore on a street.	The yellow motorcycle is parked on the street.	0.4
1189	A passenger jet sits on a runway.	A large passenger jet flying close to the ground.	1.8
1190	Old green bottle sitting on a table.	Three men in suits sitting at a table.	0.4
1191	Two white horses staring over a fence.	Two horses standing in a pen.	3
1192	The black and white cows pause in front of the gate.	The white airplane is flying in the sky.	0
1193	A black and white cow standing in a grassy field.	A black and white horned cow standing in a field.	4
1194	a black and white photo of a cat lying down.	A black and white image of a cat laying on a rug.	4.2
1195	A man and woman stand, smiling for camera.	A man and woman are posing for the camera.	4.2
1196	A orange and white cat asleep on a leather chair.	A ginger cat sitting on an office chair.	3
1197	A white cat standing on a carpet.	A pretty white striped cat with his head hanging off the table.	1.6
1198	Grey and white domestic kitten lying down on a desk.	A man and his bicycle laying down on the green grass.	0.2
1199	A woman posing in front of an apartment building in the snow.	White bus parked in grass in front of building.	0
1200	A young woman with a bracelet is wearing a bikini top and jeans.	A woman wearing jeans, a dark bikini top, and a bracelet.	4.6
1201	A table and chairs are in a room with a picture on the wall and a ceiling fan.	A school bus driving down a road with green trees and grass in the background.	0
1202	A man sits crossed legged on a bed watching a small TV.	A man sits on a bed very close to a small television.	3.4
1203	The headlights on a blue car.	Close up of the headlights on a blue car.	4.2
1204	A passenger train coming into a station.	A passenger train sits in the station.	2.4
1205	An airplane facing the camera.	A lone cow sits in the cold of the yard.	0
1206	A woman riding a brown horse.	A person dressed in white on a brown horse.	3.2
1207	a jockey riding a horse.	A jockey riding a horse in a pen.	3.8
1208	The two dogs blend in with the stuff animals.	Two dogs sit on a couch with many stuffed animals.	3.4
1209	A train is running on the tracks.	A train is running down the track in a rural area.	4
1210	Someone standing on a snowy mountain, watching a plane.	A man stands on a mountain, watching a plane.	4.4
1211	A bird is flapping its wings in the water.	A large black bird is sitting in the water.	3.2
1212	A cruise liner docked at a port.	A cruise ship docked at a coast.	3.2
1213	A red double decker bus on a crowded street.	A white bus partially in the snow on a public street.	2
1214	A woman pets a dog in a fenced area.	A woman pets a dog in a gated yard.	4.8
1215	A black and white cat playing with a blanket.	A black and white cat gets into a basket of yarn.	2.2
1216	A man on a mountain bike going down an incline.	This is a man riding a mountain bike over rocks on a clear day.	3.2
1217	A cat reclines on an office chair.	A ginger cat sitting on an office chair.	3.8
1218	A group of horses grazing in a field.	A brown horse grazing in a field of green grass.	2.6
1219	A group of people having a drink.	A row of locomotives on a siding in a field.	0
1220	Two dogs in a fenced kennel look ahead.	Two woman pose in a dining room with a baby.	0
1221	Three sheep on a dirt road viewed from a passenger vehicle.	Three sheep in middle of gravel road.	3.4
1222	A yellow and blue airplane is flying in the sky.	Nine red and white aircraft flying in formation trailing smoke.	1
1223	The train sits at the train station.	The blue train is at the station.	4
1224	A train sitting on the tracks near a field.	A baby is sitting in the grass.	0
1225	Red double decker bus taking on passengers.	A red double decker bus is picking up more passengers in a city.	4.4
1226	Two guys sit on a couch holding beers with a girl lying on their laps.	Two women watching the street with their bikes to see when they may cross.	0
1227	Two women in the kitchen looking at a object.	Two women in kitchen with one taking a picture.	2.8
1228	A race horse galloping without a rider.	A horse galloping while wearing the number 4.	2.8
1229	A steam engine and train moving toward the camera.	A large bird of prey flying towards the camera.	0.8
1230	A black and white photo of a glass bottle of Coca Cola.	This is a black and white picture of a short squat Coca-cola bottle.	4.2
1231	A small bird perched on an icy branch.	A yellow bird perched on a branch.	3.2
1232	Boy with glasses typing on a computer.	A boy looking at a computer screen.	3.2
1233	A red truck spins their tires while a black one leaves the frame.	Red truck spinning tires and emitting smoke from behind.	3.2
1234	A living room with table, chair and sofa alongside a large palm.	A living room with a blue sofa, camp bed, wooden bench and dresser.	2.4
1235	A smiling woman holding a small baby.	a woman sitting on a sofa holding a baby.	3.4
1236	An Esso gas station with trees in the background.	Two police officers standing behind a van with a bus in the background.	0
1237	Four blue and yellow planes flying over four boats.	Four blue and yellow planes in flight.	4.2
1238	A horse standing near a gate with another horse in the background.	A group of river barges with trees in the background.	0
1239	Three bottles are on a table.	Old green bottle sitting on a table.	2.4
1240	A steam engine comes down a train track near trees.	A train is at a train station.	1.4
1241	A train is at a train station.	A train parked at a train station.	4.2
1242	a woman sitting on a sofa holding a baby.	Bird sitting on a log in a lake.	0.4
1243	Two birds flying towards water feeder.	Two birds flying near bird feeders.	3.6
1244	Two cows standing in a large field.	Horse standing in a field.	1.6
1245	A group of sheep grazing on a hill.	A group of sheep are on a hill.	4
1246	A man stands in front of a train.	A man is standing in front of a raised statue,.	2
1247	Two women are posing for the camera and giving the thumbs up sign.	Two smiling young women giving the thumbs up sign.	4.4
1248	A women holds a small baby while sitting on a sofa.	a woman sitting on a sofa holding a baby.	4.8
1249	A double decker red United bus on a city street.	A doubly decker red bus driving down the road.	4
1250	Two women sitting on brown couch.	Two women standing outside of a bus.	1
1251	A grey cat with green eyes looking into the camera.	A grey, black, and white cat looking at the camera.	3.2
1252	The bird is sitting on the branch.	The sheep is standing under the trees.	0
1253	Group of people sitting at table of restaurant.	Two people sitting at a table at a restaurant.	3.8
1254	A black and white cow stands on grass against a partly cloudy blue sky.	Two black and white cows behind a metal gate against a partly cloudy blue sky.	2.4
1255	A guy on a white horse.	A man riding a white horse in an arena.	3.2
1256	Two dairy cows drinking from a pond.	Two cows are drinking from a pond.	4.6
1257	There are several sheared sheep in a pen.	Three white sheep in an enclosure.	2.4
1258	The black dog is lying in the grass.	A black dog lies on the grass.	5
1259	Two young people are sitting at a table next to a sliding glass door, with one person pointing at the other.	Two people sit facing each other at a table as one points at the other.	4.2
1260	A man and a woman holding hands walking along the beach.	A man with a beard and a skullcap and a boy walk along the ocean's shore.	2.2
1261	Ten sheep looking at the camera.	A cat on its back looking at the camera.	1.2
1262	A black and white dog looking at the camera.	A small black and white goat in a pen looking up at the camera.	1.4
1263	A black table with white fuzzy chair.	A woman with her child.	0
1264	Red double decker bus taking on passengers.	A red double decker bus driving down a street.	2.2
1265	Sail boat sailing on the water.	Sailboat sailing on a cloudy day.	3.4
1266	A blue bird perches on the gloved hand of a person.	A bird is perched on a person's gloved hand.	4.2
1267	A girl riding on a brown and white horse.	A girl riding a brown horse.	3.6
1268	A mostly black train on a track.	A car parked in front of train tracks.	1
1269	A young boy coloring with a red and blue crayon.	A young blonde girl in riding gear sits on top of a gray and white horse.	0
1270	A group of people in a living room.	A group of four people walking past a giant mushroom.	0.8
1271	A mallard and a tame white duck on the grass near water.	A small child in a pink dress sits on a table.	0
1272	The cat is sitting between two bicycles in front of a door.	Than horse standing in a field in front of a fence.	0
1273	A girl with a red bag standing on the street.	A black dog is staring at a sheep.	0
1274	A horse rider is riding a white horse.	A woman leading a white horse.	3.4
